epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.978,1.9262,2.93468,1.85492,0.02238,0.2,0.07435,0.02173,0.74968,99.1408,0.91808,0.000658537,0.000658537,0.000658537
2,599.784,1.96388,2.62359,1.92744,0.2134,0.36,0.19357,0.07426,0.83267,219.598,0.83639,0.00125961,0.00125961,0.00125961
3,1071.59,2.02942,2.55164,1.98038,0.16024,0.16,0.09207,0.03996,0.93,138.331,0.95218,0.00179467,0.00179467,0.00179467
4,6712.54,2.01056,2.33303,1.9499,0.58962,0.48,0.48765,0.15926,0.84826,94.6589,0.89803,0.001703,0.001703,0.001703
